NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Elyria Swansea,6687,5389,960,259,25,15,0,0,39,80.58920293,14.35621355,3.87318678,0.37385973,0.22431584,0,0,0.58322118,3485,3202,506,542,579,300,1048,1101,1021,701,1100,913,440,211,152,1927,672,28.81710782,10.04934948,32.5,30.9,35,6319,1790,95,159,433,400,403,212,88,4529,2876,605,1359,511,267,134,4023,1711,1109,598,605,6181,1945,4236,1938,1824,114,873,951,1824,1376,751,625,201,424,448,336,112,134,148,42,227,71,128,31,111,115,247,108,204,128,45,11,74,45943,48915,17508,45943,48915,28750,32813,25406,25417,27130,29877,33750,None,1951,0,0,61,133,26,220,108,462,279,649,894,1019,171600,4343,2344,15,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2329,2329,39,2281,9,0,20.3,19.5494186
Wellshire,3529,371,2932,26,0,81,0,0,119,10.51289317,83.08302635,0.73675262,0,2.29526778,0,0,3.37206007,1691,1838,266,242,164,148,508,383,176,449,465,493,442,320,293,820,981,23.23604421,27.79824313,45.2,42,48.2,3370,817,106,34,214,148,159,70,86,2553,1615,403,624,435,76,77,2538,60,233,458,1787,3263,2971,181,1448,1408,40,1256,152,1408,1032,877,155,30,125,376,321,55,25,8,30,47,13,20,33,43,81,115,91,125,134,92,194,357,114881,137250,62829,114881,137250,68958,97132,55250,None,36193,50795,73229,95735,1957,0,6,32,20,0,237,157,961,35,0,2018,2143,584500,3280,249,76,17,0,10,49,58,46,0,12,0,31,31,0,0,0,0,84,84,4,71,9,0,3.8,2.03488372
University,9576,720,7672,261,5,677,0,0,241,7.5416306,80.42626342,2.93100355,0.04038772,6.65916484,0,0,2.40154986,4953,4623,378,318,271,84,696,2102,2977,1496,840,481,682,182,120,1051,602,10.31563494,5.93294445,25.3,25.6,24.75,9306,4659,140,34,294,179,109,3226,677,4647,4313,1208,1810,1007,158,130,5138,79,427,958,3674,9198,7761,313,3831,3511,320,1810,1701,3511,1384,1076,308,170,138,2127,1473,654,442,139,194,94,216,149,116,127,67,288,242,232,344,364,238,259,57594,103862,34148,57594,103862,49536,55983,40092,None,35511,27356,53718,58067,1955,38,21,135,83,146,363,601,898,661,885,1069,1190,417800,8561,1015,258,50,160,0,48,504,416,28,18,42,75,27,0,0,38,0,178,144,19,64,61,34,17.65,4.9230879
Rosedale,2498,254,2101,35,10,92,0,0,6,10.16813451,84.10728583,1.4011209,0.40032026,3.68294636,0,0,0.24019215,1280,1218,85,127,33,37,212,70,459,705,320,305,178,79,170,282,381,11.28903122,15.25220176,35.5,33.8,38.3,2430,375,24,39,67,29,41,97,78,2055,1600,235,891,285,152,37,2159,37,175,402,1545,2413,2225,84,1439,1298,141,706,592,1298,517,446,71,39,32,781,573,208,73,26,61,6,53,64,61,45,14,94,103,215,136,104,132,111,82959,109583,53643,82959,109583,52173,54297,50926,None,None,30781,61667,63250,1952,25,40,105,86,137,65,56,256,296,373,1518,1518,438500,2346,152,48,8,0,0,40,39,30,0,9,0,0,0,0,0,0,0,65,59,11,27,21,6,8.7,1.93423598
Cheesman Park,8895,747,7269,342,45,225,28,1,238,8.07479321,82.16332498,3.55507558,0.67608173,2.81240986,0.25148195,0.0089815,2.45785119,4625,4270,229,63,179,77,292,303,2233,2294,948,860,1158,530,277,548,1669,5.61071057,21.07495848,36.75,39.2,35.05,8715,953,30,14,31,154,123,339,262,7762,5707,1348,2649,1255,231,224,7976,134,478,2045,5319,8666,7828,355,5775,5338,437,1917,3421,5338,1483,1172,311,99,212,3855,2850,1005,278,194,163,102,242,326,298,353,179,485,623,690,424,241,374,366,59970,106492,53270,59970,106492,47132,47554,44684,None,35286,31093,41586,63770,1961,146,9,61,132,252,1035,1604,389,281,1866,1100,1160,317200,8276,619,270,59,50,88,73,109,53,34,22,0,78,0,0,0,0,0,162,104,41,38,25,58,10.3,4.3699187
Hilltop,9510,490,8151,324,86,228,0,61,170,4.90892532,86.49063426,3.09735476,0.809885,2.28631433,0,0.75870647,1.64817987,4203,5307,941,594,573,184,1535,816,766,1432,1331,1250,1215,610,555,2292,2120,24.57099747,22.20856102,42.2,43.85,40.05,8935,2149,252,99,521,456,280,291,250,6786,3960,869,1808,882,222,179,6672,121,435,724,5392,8569,7759,248,4042,3923,119,2916,1007,3923,2487,2131,356,93,263,1436,1155,281,142,73,52,140,62,63,89,65,73,194,295,332,331,356,346,1310,141230,183406,100787,141230,183406,85006,108921,62981,None,32932,82210,84844,101286,1961,47,36,604,295,157,462,405,1077,481,478,1748,1958,771850,8833,677,361,60,107,55,139,193,66,8,6,113,35,0,0,0,0,42,46,16,6,0,10,30,5.1,3.01909052
Montclair,5896,892,4683,34,24,95,0,34,134,15.12890095,79.42672999,0.57666214,0.40705563,1.61126187,0,0.57666214,2.27272727,2808,3088,333,303,192,143,636,425,946,1125,939,657,708,259,201,971,866,16.4687924,14.68792402,39.1,39.2,38.7,5646,1146,131,87,179,127,158,268,196,4500,3241,402,1620,944,148,127,4569,189,396,667,3317,5563,4867,391,2923,2816,107,2014,802,2816,1248,985,263,44,219,1568,1202,366,90,55,49,91,53,55,66,29,90,183,243,542,384,206,230,450,94861,120543,59705,94861,120543,58068,62075,56235,14114,35321,44335,72607,73485,1947,0,18,59,136,96,92,138,574,1188,622,1343,1481,385800,5315,581,93,0,0,0,93,159,34,110,15,0,17,17,0,0,0,24,288,224,0,186,38,64,5.7,6.08974359
Hale,7060,639,5594,351,23,308,0,0,145,8.81048448,81.1483651,4.43372025,0.33730477,3.42117225,0,0,1.84895315,3385,3675,379,317,168,46,696,222,1110,1807,1126,906,613,345,235,910,1064,13.67483561,15.91069075,38.4,39.75,37.35,6775,1123,96,86,234,137,64,270,236,5652,4090,1248,1792,665,200,185,5909,213,534,1618,3544,6681,5983,225,4521,4128,393,1882,2246,4128,1452,1054,398,84,314,2676,2151,525,408,248,113,104,196,155,147,247,247,375,383,473,226,239,347,220,65704,96830,46143,65704,96830,51400,52892,50471,None,41154,38904,54996,63918,1951,101,33,76,110,151,421,708,789,1153,979,1024,1074,365200,6397,663,174,30,44,0,100,218,152,12,15,17,29,14,0,0,0,0,242,234,0,170,64,8,11.1,4.38633976
North Park Hill,10351,1212,5679,2733,92,112,0,135,388,11.97020346,54.28481293,26.58671728,0.94533498,1.06155262,0,1.31528051,3.83609823,5141,5210,848,694,451,221,1542,780,942,2338,1827,948,977,727,270,2214,1914,21.21784705,18.37991069,37.75,36.95,38.9,9812,2179,170,218,449,389,379,304,270,7633,5319,652,2959,1150,264,294,7770,882,973,1671,4244,9503,8431,839,4273,4139,134,3599,540,4139,2610,1916,694,178,516,1529,1095,434,236,70,50,117,85,115,140,75,71,319,300,668,459,332,499,603,96184,107840,45777,96184,107840,54988,62797,45873,17662,None,43951,55208,80688,1945,0,0,48,54,36,36,186,1191,1394,1328,1074,1270,361500,9677,674,21,21,0,0,0,94,0,0,94,0,99,0,0,13,0,0,460,412,8,404,0,48,7.3,6.57209613
South Park Hill,9491,865,7245,850,29,258,0,0,244,9.14949401,76.20883794,9.04141034,0.29852146,2.73564613,0,0,2.56609013,4540,4951,722,615,468,192,1337,1047,855,1438,1312,1280,1511,559,152,1997,2098,20.93221582,22.17509914,39.8,39.9,39.7,8994,2234,172,152,451,380,291,657,131,6760,4260,989,1918,969,220,164,6685,305,416,1165,4799,8769,7724,583,3834,3725,109,3030,695,3725,2475,2179,296,73,223,1250,972,278,105,117,92,91,77,145,71,69,68,208,238,451,469,332,409,783,105704,132762,56392,105704,132762,56084,65378,53610,31250,49010,33630,64479,72914,1939,0,50,103,56,27,94,115,428,506,2455,933,1015,528750,8627,864,149,89,19,10,31,194,30,87,6,71,73,8,25,19,13,19,429,337,12,315,10,92,8.15,6.13808599
Virginia Village,15002,2826,10302,877,8,567,0,83,339,18.5539626,68.74573104,5.96975607,0.05271481,3.79762751,0,0.55559484,2.32461313,7470,7532,959,843,779,248,1802,1223,2944,2993,1763,1685,1387,597,608,2829,2201,18.799427,14.80387325,36.325,36.275,36,14379,3278,185,128,794,511,463,913,284,11101,7542,1704,2987,1704,641,506,10866,783,1794,3064,5225,14043,11317,1323,6778,6427,351,2848,3579,6427,3177,2362,815,308,507,3250,2252,998,345,240,226,373,423,301,229,360,436,562,548,897,522,331,407,227,62578,74919,34045,62578,74919,38866,41630,37843,26005,27750,30811,46287,54353,1963,51,24,73,137,402,1249,1943,2643,158,98,1005,1135,334375,12664,2338,363,70,71,42,180,826,232,9,232,353,386,138,0,44,11,0,763,737,0,659,78,26,15.275,11.86393783
DIA,1428,377,543,369,8,23,0,0,108,26.40056022,38.02521008,25.84033613,0.56022409,1.61064426,0,0,7.56302521,643,785,157,113,82,56,270,143,260,296,221,85,118,35,0,408,106,28.57142857,7.42296919,31.3,32.7,30.3,1331,404,75,26,59,72,67,85,20,927,723,82,335,203,53,50,934,62,175,462,235,1271,1099,97,624,600,24,414,186,600,308,176,132,26,106,292,245,47,5,74,8,8,33,24,21,43,43,97,111,61,61,3,0,8,51971,60662,24995,51971,60662,41064,45242,37065,None,34531,40625,45714,None,2005,0,32,522,37,13,20,0,0,0,0,1172,1344,143600,1273,155,8,0,8,0,0,23,6,0,17,0,64,64,0,0,0,0,60,60,0,53,7,0,8.9,8.11688312
University Hills,5706,682,4507,123,39,133,0,0,222,9.08805484,78.73986356,4.16161264,0.44982699,2.85561773,0,0,4.70502424,2824,2882,341,180,217,74,521,301,475,1259,870,638,791,319,532,812,1281,13.90392687,28.21543136,47.4,39.8,52.25,5425,747,45,16,153,181,164,114,74,4678,2859,535,1186,744,231,163,4745,438,634,1175,2498,5365,4750,478,2904,2740,164,1794,946,2740,1424,995,429,220,209,1316,992,324,61,68,140,137,126,154,98,122,109,210,216,432,283,191,224,169,59186,87733,42270,59186,87733,44496,47892,38890,22071,38165,32713,53302,53875,1959.5,81,165,90,9,92,123,437,1799,92,16,1289,1473,313700,5253,453,42,8,21,0,13,71,48,6,17,0,15,0,0,0,10,0,325,317,9,249,59,8,4.6,0.40322581
Harvey Park,13173,7921,4291,218,13,602,0,13,115,59.54402811,33.10630163,1.82111097,0.10950135,4.41963133,0,0.10950135,0.88992527,6613,6560,1255,1201,848,492,2456,1550,2268,1988,1505,1519,878,532,477,3796,1596,28.777832,12.09875073,31.1,30.55,32.8,12400,3521,301,228,994,787,512,633,66,8879,6224,844,2408,1948,725,299,8210,2026,2578,1735,1871,11918,7284,4073,4459,4299,160,2710,1589,4299,2980,1862,1118,271,847,1319,950,369,231,173,228,121,183,259,242,177,247,356,614,895,301,85,102,85,56400,59920,22028,56400,59920,31798,34661,26794,21682,28037,36917,52925,56185,1958,24,15,59,88,75,716,470,2732,270,10,872,1022,238300,10521,2652,79,22,23,0,34,405,64,0,341,0,0,0,0,0,0,0,2168,2160,8,2033,119,8,17.3,15.68371245
Mar Lee,13118,8755,3147,306,274,538,0,29,69,66.24281755,25.15711757,2.20051152,1.8315508,3.91292234,0,0.19385027,0.46122995,6603,6515,1144,1030,783,678,2174,1893,1996,1967,1903,1387,1040,333,425,3635,1444,27.43202638,11.34056194,32.35,31,34.5,12289,2821,166,127,880,525,810,313,0,9468,5752,1044,1846,1794,610,458,8144,2542,2848,1495,1259,11974,5697,5682,4416,4176,240,2378,1798,4176,3025,2047,978,295,683,1151,927,224,303,177,210,247,224,152,405,235,219,558,439,386,239,234,114,34,48060,51777,19740,48060,51777,34307,38648,32612,30169,31664,35276,41245,34342,1956,0,0,18,147,121,467,254,2875,449,85,992,1108,184100,9391,3727,37,0,13,0,24,447,30,19,398,0,70,53,0,0,0,0,3173,3173,0,3173,0,0,15.7,11.38429025
Westwood,17392,13628,2234,616,263,633,0,0,18,78.2479349,12.73813201,3.626404,1.51928149,3.75755344,0,0,0.11069417,8541,8851,1636,2019,1964,744,3655,3125,2767,2481,2132,1533,970,458,271,6363,1344,36.58624539,7.7816269,27.625,28.175,27.175,16473,5377,417,431,1621,1316,1152,381,59,11096,6743,994,1981,2419,772,577,9603,3741,3105,1943,814,15756,6067,8960,5077,4785,292,1727,3058,4785,3519,2204,1315,203,1112,1266,878,388,462,330,520,462,188,287,389,283,246,427,262,504,256,42,86,41,35135,35640,14679,35135,35640,25731,30450,19032,21515,28091,29722,31929,None,1954.25,0,67,171,136,118,538,244,2211,1316,276,819,950,176575,12086,5306,0,0,0,0,0,496,73,49,374,0,146,69,8,25,1,0,4664,4657,35,4617,5,7,31.55,29.82489443
East Colfax,11059,2760,3799,2875,125,1128,0,50,322,26.08112747,35.79998254,24.97813562,1.01834174,8.76362189,0,0.55151114,2.8072796,5560,5499,760,620,826,352,1380,1406,2166,2514,1320,1405,462,251,155,2558,935,22.19905864,8.97930787,32.25,31,33.55,10578,2792,76,125,564,628,485,545,369,7786,5747,880,2165,1613,667,422,7332,1217,1728,2058,2329,10299,6679,1630,4695,4454,241,1627,2827,4454,2089,1197,892,233,659,2365,1707,658,490,279,226,313,240,212,273,111,325,415,454,482,334,119,128,53,44367,50223,25526,44367,50223,33017,35154,28937,18580,22493,34950,48560,49943,1958.5,0,31,345,188,341,717,565,871,1159,478,971,1073,219300,8197,2862,41,16,10,0,15,991,153,409,356,73,990,774,46,0,88,6,834,821,0,721,100,13,26.4,22.59712844
Auraria,798,169,540,21,0,42,6,10,10,21.17794486,67.66917293,2.63157895,0,5.26315789,0.7518797,1.25313283,1.25313283,375,423,0,0,0,0,0,546,181,29,17,11,14,0,0,0,4,0,0.50125313,19.6,19.6,19.7,798,729,0,0,0,0,0,725,4,69,294,145,64,55,10,20,92,0,6,37,49,798,690,44,66,39,27,30,9,39,7,7,0,0,0,32,14,18,4,0,0,0,0,0,0,4,9,3,0,0,4,0,0,15,None,None,9992,None,None,None,None,None,None,None,11023,None,None,1939,0,0,4,0,0,4,0,9,0,49,None,None,500000,734,64,0,0,0,0,0,31,21,10,0,0,11,11,0,0,0,0,22,22,0,22,0,0,12.9,0
University Park,8099,729,6462,52,44,585,0,0,227,9.74628878,78.47019699,0.76367403,0.67093626,7.35549309,0,0,2.99341085,3975,4124,241,381,348,219,622,813,2250,1174,958,952,604,449,277,1189,1260,13.74780604,15.70309742,32.35,33.65,31.05,7949,2888,80,85,313,272,303,1311,524,5061,3749,969,1869,484,207,220,5242,150,480,1099,3513,7858,6629,420,4059,3622,437,1542,2080,3622,1614,1322,292,57,235,2008,1373,635,390,119,69,194,162,165,125,145,107,283,315,296,231,107,206,708,69846,132190,55752,69846,132190,48346,71100,33902,None,26822,22334,60886,57819,1969,83,261,789,150,239,391,699,716,463,268,1055,1114,655000,7084,1015,124,31,57,0,36,650,416,63,97,74,9,0,0,9,0,0,232,106,0,64,42,126,17.7,5.30542364
Bear Valley,8875,2730,4780,668,314,327,0,0,56,27.60639444,58.9976649,5.20654716,2.88597292,4.47848348,0,0,0.82493711,4449,4426,345,548,410,310,893,876,1632,1128,1303,1472,773,416,382,1613,1466,18.64961758,19.90981186,41.1,42.25,38.6,8689,1735,49,144,340,323,383,418,78,6954,4612,640,1911,1349,409,303,6488,649,1606,2065,2168,8530,7099,1128,3930,3723,207,2149,1574,3723,2151,1406,745,494,251,1572,1187,385,182,82,198,63,88,364,224,315,88,253,409,525,397,240,210,85,59586,75154,32680,59586,75154,40838,47458,35178,15625,29687,42750,49719,67354,1973,3,14,413,137,338,1660,1198,109,24,34,1088,1212,265600,8166,709,28,22,0,0,6,236,21,63,152,0,0,0,0,0,0,0,445,438,10,408,20,7,9.7,6.48721651
Harvey Park South,9578,4797,3476,226,13,602,453,0,11,48.91211978,36.79661933,1.91492967,0.15627494,6.0950613,6.00104102,0,0.12395395,4954,4624,807,560,694,474,1367,1559,1129,1201,1110,1269,1040,516,387,2535,1717,27.12705198,18.2998097,35.5,32.85,38.3,9134,2533,288,106,337,676,530,452,144,6601,4306,925,1569,1177,497,138,6019,1228,1458,1991,1342,8771,6024,1972,3375,3272,103,1991,1281,3272,2089,1482,607,184,423,1183,969,214,334,84,104,143,269,183,149,166,101,235,381,287,301,299,130,106,59272,76627,28102,59272,76627,36158,47176,28826,19354,29598,48150,48312,59412,1961,0,12,53,208,271,620,231,1876,46,58,1126,1340,263450,8178,1400,75,0,46,0,29,369,15,53,301,0,30,0,0,0,0,34,892,877,43,641,193,15,13,11.43517575
Southmoor Park,5326,184,4613,252,4,172,0,0,101,3.59637526,86.93077376,4.27196622,0.10298661,3.40809906,0,0,1.68979909,2792,2534,245,118,143,93,363,273,1628,987,709,618,313,256,179,599,818,12.6794353,17.96687264,37.35,37.45,39.05,5152,952,69,16,95,137,107,350,178,4200,3552,1002,1708,659,126,57,4127,84,212,962,2869,5081,4530,83,3125,2947,178,923,2024,2947,1024,766,258,97,161,1923,1394,529,144,52,63,49,107,171,115,147,106,208,347,458,400,216,148,216,74002,106506,51652,74002,106506,52581,55902,45404,30000,35688,38614,54338,71844,1984,191,262,1047,650,54,181,456,270,7,7,1314,1560,444450,4667,659,197,6,55,0,136,268,66,78,0,124,64,0,0,17,23,0,130,112,58,8,46,18,7.55,4.03344123
Hampden South,15603,1686,11055,1706,6,706,0,117,327,10.25746542,71.81156758,10.09265078,0.0601851,5.25616875,0,0.53119041,1.99077197,7685,7918,589,928,545,294,1517,1062,2517,2567,2231,1910,1949,1142,708,2356,3813,13.85713164,24.36823864,40.56666667,39.1,43.73333333,15266,3190,165,177,735,490,366,1048,209,12076,8470,2169,4117,1736,285,163,12245,601,1681,3513,6450,15014,12791,747,8250,7713,537,4192,3521,7713,3712,2771,941,367,574,4001,3209,792,188,183,254,234,256,650,320,340,352,504,907,1015,835,377,684,614,69930,99149,47391,69930,99149,46879,55156,39015,71048,30662,44783,52279,62378,1979.333333,308,64,578,823,1211,3188,1743,197,41,97,1294,1365,349167,13902,1701,402,48,48,9,297,852,238,267,118,229,94,33,0,11,0,0,353,272,0,171,101,81,4.83333333,2.34324392
Goldsmith,5819,1196,3557,626,55,124,0,82,179,20.55335968,61.12734147,10.75786218,0.94517958,2.13095034,0,1.40917683,3.07612992,2979,2840,406,346,211,87,752,403,980,1023,623,748,557,284,449,1050,1190,18.04433752,20.45024918,36.6,34.2,38.9,5672,1173,174,66,229,187,132,258,127,4499,2837,367,1447,619,212,192,4246,428,1287,1056,1475,5413,4507,560,2863,2744,119,810,1934,2744,1208,761,447,257,190,1536,1220,316,248,177,162,168,275,340,115,94,189,205,138,245,151,69,88,80,35078,50765,26333,35078,50765,30393,31218,28914,21607,30452,24344,40375,49118,1973,0,0,33,43,252,1524,858,121,0,32,884,963,362900,5027,792,40,27,0,13,0,143,29,54,0,60,173,14,0,0,126,0,436,432,0,400,32,4,18,13.0794702
Cory - Merrill,4749,449,4080,53,14,96,0,0,57,9.45462203,85.91282375,1.11602443,0.29479891,2.02147821,0,0,1.20025268,2595,2154,488,339,175,108,827,321,511,985,733,347,628,222,175,1110,763,23.37334176,16.06654032,38,34.5,42.1,4483,1160,205,69,306,110,137,207,126,3323,2308,627,983,479,146,73,3356,17,239,492,2608,4261,3959,144,1938,1867,71,1454,413,1867,1182,868,314,108,206,685,429,256,70,7,7,89,19,0,37,57,61,41,143,313,264,124,205,430,111656,128750,66078,111656,128750,63194,72027,59531,None,48953,41202,62406,69464,1951,43,7,324,32,137,34,63,353,604,341,1614,1682,538100,4583,166,10,0,10,0,0,89,26,54,9,0,0,0,0,0,0,0,67,38,0,38,0,29,6.9,3.29949239
Windsor,14509,3319,7231,2816,31,785,0,7,320,23.56725188,48.70031993,19.78924667,0.21035674,5.41058098,0,0.05181731,2.2704265,6818,7691,800,588,514,283,1388,856,2187,1813,1858,1433,2146,1385,1443,2185,5056,15.53337822,33.62100103,45.1,43.63333333,45.86666667,13996,2337,111,175,476,396,375,611,193,11659,6397,1109,2620,1823,393,452,11470,1251,2867,2980,4372,13709,9412,2107,8692,7998,694,3672,4326,7998,2741,1634,1107,326,781,5257,4460,797,537,452,793,555,693,549,433,479,569,648,568,967,351,87,165,152,43932,52248,29294,43932,52248,30237,32699,25521,19905,29493,29351,34514,48488,1977,0,25,297,1217,1666,2611,2144,607,60,65,964,1038,211600,10812,3697,404,52,125,8,219,816,54,590,22,150,1026,531,93,14,282,0,1451,1409,50,1251,108,42,18.2,15.44062875
Belcaro,4275,266,3829,87,0,45,0,14,34,6.22222222,89.56725146,2.03508772,0,1.05263158,0,0.32748538,0.79532164,2225,2050,167,176,162,68,343,230,461,614,627,588,602,614,196,573,1610,13.40350877,37.66081871,46.7,46.9,46.4,4193,678,84,75,91,162,68,114,84,3515,1990,754,942,264,0,30,3522,55,186,584,2697,4108,3659,39,2532,2236,296,1787,449,2236,1128,996,132,81,51,1108,922,186,47,25,80,49,16,0,16,31,0,42,170,220,356,217,312,655,135074,160167,91990,135074,160167,94904,103658,66610,None,None,65560,102238,94773,1965,107,31,475,311,83,34,436,421,293,341,1763,1813,742100,3944,331,145,16,48,0,81,123,0,109,14,0,15,15,0,0,0,0,48,17,17,0,0,31,4,1.24113475
Washington Park,7400,407,6643,35,44,191,6,11,63,5.39067625,89.99956074,0.59582497,0.46649703,2.38622301,0.11177347,0.20491803,0.84452648,3529,3871,462,400,373,123,862,538,838,1116,1330,855,1219,430,212,1358,1557,16.99844775,23.02531952,43.3,42.85,43.8,7158,1482,262,56,324,288,184,175,193,5676,3562,953,1548,684,155,222,5876,99,422,808,4547,6938,6489,130,3613,3351,262,2698,653,3351,1967,1692,275,102,173,1384,1118,266,88,73,54,80,84,46,64,84,87,177,229,321,322,197,561,884,121092,147900,81209,121092,147900,63103,87812,50358,None,30970,34496,62448,98373,1954,17,101,209,161,116,469,266,159,221,1894,1752,1844,616350,6894,506,319,107,89,61,62,70,41,8,21,0,0,0,0,0,0,0,117,61,20,32,9,56,5.85,2.98039442
Washington Park West,7697,557,6676,62,9,87,0,19,287,7.19382383,86.66859376,0.72888381,0.13595166,1.22148865,0,0.21654889,3.83470939,4009,3688,386,357,160,18,743,209,1564,1944,1267,851,714,254,151,921,964,11.67991188,12.63725839,36,37.15,35.05,7477,1264,167,81,265,129,37,272,313,6213,4644,975,2186,1043,246,194,6377,96,431,1117,4733,7311,6900,226,3814,3676,138,2251,1425,3676,1511,1240,271,133,138,2165,1305,860,132,43,58,89,48,73,90,187,177,146,291,526,415,294,451,656,97200,128902,61833,97200,128902,60555,62096,59326,40284,38471,37348,57030,78126,1939,70,77,199,74,22,99,195,293,210,2575,1329,1404,507200,7386,311,108,64,18,8,18,64,25,9,30,0,0,0,0,0,0,39,100,100,0,84,16,0,6.2,3.00214563
Platt Park,5722,431,5070,114,0,0,0,0,107,7.53233135,88.60538273,1.99231038,0,0,0,0,1.86997553,2617,3105,459,219,128,169,678,297,831,1543,467,925,811,66,104,975,575,17.03949668,10.04893394,36.7,37,35.8,5376,867,110,39,176,48,198,206,90,4509,3635,935,1787,689,168,56,4620,69,310,769,3472,5263,5057,109,2881,2680,201,1889,791,2680,1448,1191,257,121,136,1232,924,308,140,70,92,99,66,25,66,65,94,160,145,291,334,151,298,584,101227,162625,59558,101227,162625,62790,74626,52917,None,None,45884,64767,69612,1939,51,56,340,31,38,44,174,161,180,1806,936,1081,487900,5518,204,42,16,14,0,12,0,0,0,0,0,16,0,0,16,0,0,146,75,0,37,38,71,7.2,2.55524862
